ident,title,description,question,annotation_score,annotation_category
B00278Y3Y2,"Kinetic Go Green Glass Lock Series Round 14-Ounce Set 01334, 6-Piece","Kinetic brings you stylish innovation by introducing the Go Green Glasslock series of food storage containers!  FDA approved, Tempered Glass container body, BPA-free plastic lid with a silicone seal provides an Airtight & Watertight seal.  Stain and odor resistant.  Microwave safe (lid may be used as a splatter guard only, flip lid upside down so tabs face microwave ceiling).  Top rack dishwasher safe. Safe for freezers and refrigerators!",can you use these in a conventional oven?,2,g
B0043ERIHC,The Original Physical Therapy Pregnancy Sports Medicine Special Positioning Body Pillow,"The Original Body Pillow (est. 1988) is 5 feet 6 inches long and more supportive than any other body pillow.  It has an all-natural kapok (silky tree-seed fiber) filling and cotton shell with zipper closure.  ""It's like hugging a soft tree"".  Pure cotton and organic cotton removable covers (blue or white) are sold separately.  Your body will love this pillow!",what is the guarantee on this?,1,g
B008VD7XXU,Norpro 16-Inch by 12-Inch Bamboo Cutting Board with Juice Catching Groove,"A sustainable, renewable resource that naturally replenishes itself, making an ecological responsible alternative to clear cutting old growth forests. Bamboo is durable, moisture resistant, sturdy and lightweight. Heat and stain resistant. Naturally anti-microbial. Won't absorb odors or flavors and won't dull blades. Juice catching groove: 16""x 12""/40.5cm by 30.5cm.",how thick is the board?,4,s
B005PY90JS,"Zak Designs Ella Individual Bowls, Orange, Set of 6","Made of durable, stain resistant melamine, these 6.25-inch individual bowls will last. Bright, fun, solid orange color makes them great companions to existing dinnerware sets. Use bowls indoors or outdoors; perfect for parties, get-togethers, dinners and everyday use. Set of 6. BPA, PVC, phthalate, and lead safe. Not for microwave use. Dishwasher safe. By Zak Designs. Playful, unexpected and spirited, colorful, modern, crisp and clean - this is Zak. They offer a wide variety of dinnerware and travelware; they offer products at the forefront of tabletop trends for contemporary and on-the-go lifestyles.",can you use these bowls for soup?,3,s
B003G2ZKRW,ORE International R685CH Six Foot Wood and Chrome Coat Rack Cherry Finish,"This chrome and wood floor coat rack from ORE International is casual, yet has elegant design elements. The 12 decorative hooks are chrome and wood in a cherry finish for coats, hats and accessories. The wood base contains classic design mouldings and turnings that make this not only a useful coat rack, but also a unique piece of furniture that you will love to display in your home.",what is the weight of this product,-5,g
B000XKZOZ8,Set of 2 Dining Chairs - Queen Anne Style Cherry Finish,"You will receive a total of 2 dining chairs.
Dimension: 21""W x 22""D x 39""H
Finish: Cherry / White
Material: Wood / Fabric
Set of 2 Dining Chairs - Queen Anne Style Cherry Finish
Item is constructed of the wood in cherry finish with cushion seat.
Stylish, elegant and great for any classic home decor.
Matching dining table is available separately.
Assembly required.",is the fabric on the seat white-white or cream/antique white?,4,s
B000YY7N16,Basic Broiler Pan,"Enamel coated broiler pan with slotted, enamel broiler top. The bottom tray can also be used separately for roasting or baking. Size is 15.8 inches by 12.6 inches. Electrolux part # 5304442087.",what is the pan made of?,4,s
B007W6008C,TRINITY EcoStorage Bamboo Kitchen Cart,"TRINITY's EcoStorage Bamboo Kitchen Cart is a blend of form and function. The large 100% solid bamboo cutting board can be used both on the cart or on your countertops.&#xA0; Shelves and basket are adjustable in 1"" increments for your own custom configuration.",how much weight will it carry?,2,g
B003R5077Q,Nostalgia Electrics JFD100 Cake Pop &amp; Donut Hole Bakery,"The Nostalgia Electrics JFD100 Cake Pop & Donut Hole Bakery allows you to cook delicious cake pops, donut holes and other pastries at home without even turning on an oven. Make different flavors of cake pops, jelly donuts, puff pancakes, mini cinnamon buns and more. It&#x2019;s great for snack time, party time or anytime! A handy injector is included to give your donuts a variety of fillings such as jelly, cream or caramel and to decorate your cake pops with colorful frosting. Use your imagination and have fun!",what is the input voltage requirement for this item?,2,g
B001R6AQCI,Sterilite 44 Quart White Lift-Top Wastebasket 15 5/8&quot;L x 12 1/8&amp;,"The 11.4 Gallon lift-top Wastebasket integrates functionality with a simple, elegant appearance. The unique design of the lid makes opening the wastebasket easy. The slim profile is ideal for use in the kitchen and is perfect for tight spaces, yet offers a generous 11.4 gallon capacity. This wastebasket is designed to accommodate standard 13-gallon trash liners without interfering with the lift-top function. Dimensions: 16 1/4"" L x 12 7/8"" W x 24"" H","would a bag fit over the top of the can with the lid off, and then put the lid on to hold the bag in place?",3,s
B00280PPV4,Pink Feather Metallic Moon and Star Trimmed Girls Bed Canopy,78560 Features: -100pct polyester bed canopy with removable feather trim.-Great for tween girls.-Available separately in purple. Color/Finish: -Metallic star and moon accents.,is it machine washable?,2,g
B007ZDEHM2,Keurig Water Filter Cartridge in Keurig Retail Box,"Keep your Keurig brewing system running smoothly with this set of Keurig water filer cartridges. Featuring a charcoal construction, they can be used with a variety of Keurig k-up and Keurig Vue brewing systems, including Elite B40, Classic B44, Ultra B50, Signature B60, Special Edition B60, Ultimate B66, Platinum B70, Select B77, Platinum Plus B79, B150, and OfficePRO Premier B155 and V700. To use, simply place a cartridge into the water filter assembly and insert into your water reservoir. Packaged in a set of two, these water filter cartridges should be replaced every 2 months or 60 tank refills.",will this fit the keurig 2.0,4,s
B0018EGJNE,O2 Cool Portable Tent Fan with Emergency Device Charger and Auto Adapter,Battery Operated Canopy Tent Fan with Portable Battery Pack. Two speed fan offers quiet cooling. Multi positional fan with adjustable height feature. Lightweight.  Portable Battery Pack (included) holds 8D cell batteries (not included) and 12VAuto Adapter (included).  Strong magnetic plate attaches to any tent or canopy.,can i use a portable battery pack(like the ones for jumping off dead batteries in cars)instead of the tower that comes with it?,3,s
B000QCUMAU,Deluxe Triple Shoe Cabinet (White) (49.1&quot;H x 29.3&quot;W x 11.3&quot;D),"The white Deluxe Triple Shoe Cabinet looks like a regular cabinet when closed, but opens up to a three shelf shoe storage unit that can hold up to 36 pairs of shoes! This three drawer shoe cabinet is easy to open with its curved pewter colored handle, and looks great in any room with its shaped vacuum formed fronts. Add the three drawer shoe cabinet to your room and you'll have no problem keeping your shoes organized without taking up too much space. Assembly level/degree of difficulty: Moderate.",what is it made of?,1,g
B005B6Q70A,"Rsvp Hazel Nut Grinder Hazel, Silver","Crack pecans, walnuts, or just about any nut, with this hazel nut grinder from RSVP. Made from cast aluminum, this grinder features a squirrel holding a nut on top of the included glass jar, which will securely store your ground nuts. Just rotate the squirrel's tail, and the steel grinding mechanism will crack even the hardest of nuts. The ground nut pieces will be safely stored in the glass jar and can be used for cooking, baking, or simply personal enjoyment.6"" L x 3-1/2"" W x 8"" H, with an 8 ounce capacity",hi; is this good to grind flax seeds?,4,s
B001FB6TSA,Lipper International 8830 Bamboo Over The Edge of Counter Cutting Board,This Lipper International Bamboo Over the Edge of Counter Cutting Board is a great housewarming or wedding gift! It is made from bamboo wood which is a renewable source and it is harder than Maple. You just set it next to the edge of your counter and you can slide all of your food right onto a platter. Measures: 17-5/8-inch by 13-7/8-inch by 2-inch.,can this be used under a burner so that an additional burner can be used?,3,s
B0019JH6IK,Thinksport Stainless Steel Sports Bottle,"The thinksport bottle has been thoroughly field-tested since our inception over three years ago with excellent results and enjoys a loyal customer following. It is a high-quality, feature-rich insulated sport bottle for about the same price as the other guys' basic single-walled bottles. Wouldn&#x2019;t be nice to keep your cold drinks cold for up to 12 hours without sweating all over your gym bag, backpack, or desk?",will the 350ml bottle fit in a bike cage?,3,s
B000RH174Y,"Divatex Home Fashions Royal Opulence Satin Queen Sheet Set, Black","Give in to an enchanted night's sleep with this luxurious set of satin sheets for Queen beds in high-fashion black. This set includes a flat sheet, fitted sheet, and two standard pillowcases. Smooth and silky with a lustrous sheen, these satin sheets are made of 100 percent woven polyester satin. The fitted sheets feature elastic corners for a secure fit and 14-inch pockets that can fit mattresses up to 17 inches deep. They're machine washable for easy care.",is it soft on both sides?,2,g
B005H7Z0BA,"Home Styles 5219-95 Savanna Kitchen Cart, White Finish","The savanna kitchen cart features hardwood solid and engineered wood construction in a multi-step white finish with a stainless steel top and dark antiqued bronze hardware. Features includes two easy open storage drawers, two slotted shelves that can be used for general storage or as wine racks. The center shelf being adjustable and two towel racks all serve as useful tools for handy kitchen storage and easy meal preparation. Heavy duty, locking, rubber casters allow for portability. Assembly required. Measures 47-1/4-inch width by 20-1/2-inch depth by 36 height.",weight capacity of top shelf,-5,g
B007ZXKSI4,"Copco 2510-0285 24-Ounce Double Wall Cold Tumbler, Red","Copco 24-Ounce cold beverage tumbler comes in a classic, iced-coffee-cup design great for everyday use. A reusable straw stays put and helps keep drinks perfectly mixed. Worry-free for leaks, the lid has a quarter-turn sealing mechanism. Hand washing is recommended for care. The tumbler is offered with a variety of fun colors.",is this product bpa free ?,4,s
B00363Y522,KitchenAid 12-Cup Food Processor KFP750: RED,"KitchenAid KFP750ER 12 Cup Food Processor Empire Red An Ideal model for the creative chef, this food processor features generous capacity, a powerfu",which cuisinart model is the best large capacity processor?,3,s
B002SVQHHY,"American Weigh Scales 5KBowl-BK Digital Kitchen Scale with Removable Bowl, Black",The AMW-5KBOWL makes the perfect kitchen pal. Its durable and user friendly design makes everyday kitchen measuring quick and easy. The backlit LCD display helps make the numbers viewable and easy to read. This scale offers diversity with functionality. Use the bowl to weigh your ingredients or remove the bowl and place your items directly on the weighing surface. Clean up is easy and a snap the sturdy and durable bowl is dishwasher safe.,what is the lowest gram weight this will weigh,-5,s
B002NS4QUC,Flash Furniture XU-DG697BLAD-BAR-BURV-GG Hercules Series Black Ladder Back Metal Restaurant Bar Stool with Burgundy Vinyl Seat,"This heavy duty commercial metal bar stool is ideal for Restaurants, Hotels, Bars, Pool Halls, Lounges, and in the Home. The lightweight design of the stool makes it easy to move around. The tubular foot rest not only supports your feet, but acts as an additional reinforcement that helps secure the legs. This stool will keep you comfortable with the easy to clean vinyl upholstered seat. You will not regret the purchase of this bar stool that is sure to complement any environment to fill the void in your decor. [XU-DG697BLAD-BAR-BURV-GG].","are these steel stools available with a 24"" seat?",2,g
B0042ESRKA,"InterDesign Formbu Wall Mount Key &amp; Mail Rack, Espresso/Brushed Stainless Steel","The InterDesign Formbu Key & Mail Rack conveniently stores keys, leashes, and mail all in one location! Perfect for kitchens and foyers. Made of natural bamboo,  wall mounting hardware is included.",could i hang this up with adhesives to avoid drilling holes?,2,g
B0044SDPDS,"Household Essentials Holiday Wrapping Paper Storage Box, Red with Green Trim","Keep your holiday wrapping paper organized with this wrapping paper holder from Household Essentials.  Wrapping paper holder has dividers and can hold up to 20 rolls of wrapping paper.  Covered in a durable red polyester with green trim.  Box has riveted handles on all four sides for easy transfer.  Measures 32"" high by 11"" wide by 13"" deep. Item # 580RED",the dimensions?,1,g
B000U96FA0,Lasko 5365 Ceramic Pedestal Heater with Remote Control,"Lasko's #5365 30"" Digital Space-Saving Ceramic Pedestal Heater with multi-function Remote Control offers 1500 watts of comfort.",odor?,-5,g
B005DVEENA,Hookless Fabric Shower Curtain with Built in Liner  - White/Brown,"Your shower curtain is the largest decorative element in your bathroom, so we put extra care into the design and craftsmanship of each piece. Choose from a wide variety of solids, prints and textures in colorful fabric or waterproof PEVA. What&#x2019;s best, you won&#x2019;t need to purchase separate hooks because of our all-in-one Hookless curtain system",what is the size of this shower curtain?,2,g
B0036OQWT0,"Copco 2555-0187 Non-Skid 2-Tier Cabinet Turntable, 12-Inch","Non-skid cabinet turntables come in multiple sizes to fit every need. Outer rim prevents items from falling off. Durable, non-skid pad helps hold items in place and is easy to clean.","can you take this apart and use the two turn tables independently or do they have to be put together, and tiered to use them?",-5,s
B005H05SXC,Cuisinart 7117-135 Chef's Classic Stainless 13-1/2-Inch Lasagna Pan,"Cuisinart's newest addition to the Chef's Classic line is an elegant mirror-polished stainless steel 13-1/2-inch lasagna pan. Just the right size for favorite multi-layered lasagnas, it has riveted, comfort-grip stainless side handles that make placing lasagnas into the oven, and lifting them out, safe and easy. The stainless steel interior does not react with food, so flavors stay true and tasty, and the brilliant stainless exterior makes this pan a perfect serving piece for dinner or buffet tables.",what is the weight on the pan?,2,g
B004U5039E,"LG Electronics LP0910WNR 9,000 BTU Portable Air Conditioner with Remote Control - White","LG's LP0910WNR 9,000 BTU Portable Air Conditioner with Remote Control cools rooms up to 300 square feet. The auto evaporation system allows continuous use without removing water. The auto cool function allows you to set the thermostat to a preferred temperature so you can stay as cool as you want. It also has multiple fan speeds and even a programmable 24-hour timer which means you can control the temperature even when you're not there. Cool, huh?.",my unit shuts down every couple minutes what would cause this,2,g
B004107WB0,"Brand New Brown Shikibuton Trifold Foam Beds 3&quot; Thick X 27&quot; Wide X 75&quot; Long, 1.8 lbs high density resilient white foam, Floor Foam Folding Mats.","This trifold foam bed is also known as a shikibuton, it is perfectly used as a sleeper foam bed on the floor in your room, living room, studio, guestroom, patio, dorms, RV trailers, mobile homes, apartments ... This tri fold foam bed is an ideal to make room for a narrow space.",does this come with sheets or anything else?,4,s
B002M3SP3W,"Honey-Can-Do DRY-01102 Clothes Drying Hanger Rack with 12 Clips, Chrome","Honey-Can-Do DRY-01102 Hanging Clothes Drying Rack, Hanger holds 12 Pieces Instead of draping underwear over curtain rods, door handles and furniture for all the world to admire, you can properly hang dry those items in just one square foot of space. Strong enough to hold sweaters and slacks (heavier items should be hung in center of rack) This hanger uses 12 pins. Its made of stainless steel, and coated in chrome for a beautiful finish.",can the clips be removed and used with dry cleaner style metal hangers?,4,s
B000I4OJ0A,Wilton Holiday 18 pc Metal Cookie Cutter Set #2308-1132,"Put variety in your cookie-making with fun Christmas multi-shape sets--Snowflake, holly leaf, gingerbread girl, star, sleigh, tree, stockingnowman, reindeer, ornament, candy cane, Santa hat, angel, bell, gift, wreath, gingerbread boy and mitten  There are styles to please everyone.",can they be used to cut sandwiches?,3,s
B001JJBFRI,"South Shore Logik Collection Twin Mates Bed, Sunny Pine","3342213 South Shore Mate's Bed, Logik, Contemporary, Sunny Pine. This fashionably functional twin-size mate's bed with 2 spacious drawers for maximum storage is definitely a smart addition to this 6-piece bedroom collection. Forms a complete bed with even more storage space when combined with the bookcase headboard.",is the platform one solid piece of material or does this use slates?,4,s
B000E1GIBA,"Zojirushi SJ-TE08XA 26-Ounce Tuff Sports, Stainless Steel","Zojirushi began in Japan in 1918 as a manufacturer of hand-blown vacuum bottles. They are still known today for their high quality vacuum insulated products. The superior thermal insulation in this bottle will keep your beverage hot or cold for hours. This 26-ounce/0.8-liter tuff sports stainless steel vacuum bottle has a nonstick interior coating for easy cleaning. Each bottle comes with a removable cup lid, and leak-guard stopper. The removable shoulder strap make traveling easy. Perfect for your next trip or sports event.",the thermal insulation bag cup is which country of origin?,2,g
B00451BNZ6,"InterDesign York Metal Canister, Split Bronze",InterDesign's York Metal Canister adds a nice accent to any room. Steel body and die cast lid are durable. The uses for this attractive can are endless.,what is it used for?,4,s
B0013TM0Z0,RoadPro RPSL-681 12V Direct Hook-Up Ceramic Heater/Fan with Swivel Base,"Ride in style or set up camp in comfort with this powerful, compact heater/fan. It hooks up directly to your vehicle is battery for dependable heating or cooling with the flip of a switch. Adjustable fan speed lets you choose how cool you want it and the swivel base puts the warm or cool air exactly where you need it. An extra-long power cord maximizes your usage options. Another great innovation from RoadPro, your trusted travel companion, bringing the comforts of home to on-the-go living.",how many btu and dimensions,2,g
B0040832RG,"Fitted - Luxurious Down Alternative Mattress Pad - 100% Cotton , 300 Thread Count - Twin Size (39x75&quot;)","Protect your mattress while adding comfort! This down alternative Mattress pad is truly luxurious and it's allergy free. The soft and lofty down alternative filling feels like real down! The 100% cotton, sateen jacquard fabric feels really soft & smooth. The dot design gives it that fine classic touch. The mattress pad won't slip off of your bed! Style: Quilted, Fitted. Size: Twin (39x75""). The 10"" super stretchable skirt will fit mattresses up to 14"" deep! Top fabric: 100% cotton, 300 thread count, sateen, jacquard. Back: 50% cotton/50% polyester. Fill: 100% polyester. Machine washable.",does this smell?,4,s
B0006PILUK,"Alaskan Ulu, Legendary Knife of the Arctic","The stainless steel blade, and easy to grip wooden handle make it an excellent tool for single-handed people or individuals with weak hands.",are these ulu's made of 440 stainless steel,-5,s
B002LHEJSY,One Touch Can Opener,"With the new and improved One Touch can opener, opening a can has never been easier. Simply place the One Touch on top of your can, push a button, and watch the can's lid be removed simply and effortlessly with no sharp edges. This new One Touch can opener features a sleeker design, and battery compartment located on the side. In the event your One Touch batteries fail in mid cut, simply replace the batteries and continue on.",how wide can you go,3,s
B000EWFGUS,"Hamilton Beach 43253 Ensemble 12-Cup Coffeemaker with Glass Carafe, Red","Hamilton Beach Ensemble coffeemaker- 12-cup capacity, Stainless steel body & red accent color matches up with the Ensemble toaster , can opener & blender for a beautiful kitchen appliance display . Drip Free carafe and programmable digital clock.",does this model have a lighted clock?,4,s
B000FCEQMQ,"Lux CU100 Digital Count Up/Down Timer, White","The CU100 Electronic Timer has large, easy to read digits, is simple to use, and counts up as well as down. The Lux CU100 has a magnet, belt/apron clip, and an easel stand for convenience. This timer's built-in memory remembers the last setting until cleared, making repetitive timing simple and convenient. Use the CU100 in kitchens, offices, restaurants, and any place where accurate timing is desired.",will it keep counting after it alarms to let me know how much time has passed since it went off?,2,g
B004M17ZLU,"Tommy Bahama Bimini 4-Piece Comforter Set, Queen","Tommy Bahama Bimini offers a tropical floral in blues and neutral tones. The comforter set includes Comforter, Shams and bedskirt, complete the look with the 5 piece drapery set. Made of100-Percent cotton sateen. Enjoy the Tommy Bahama style ""life is one long weekend""",is it down filled,2,g
B0069ZTHXQ,Baxton Studio Matlock Modern TV Stand with Glass Doors,"It's all about ""a place for everything and everything in its place"" from top to bottom with the Matlock TV Stand. Adjustable-position shelves? Check. Sliding glass doors? Check. Drawer for DVDs or accessories? Check. Fiberboard construction with dark brown veneer, silver legs and drawer pulls, and rear openings for cable management round out this full-featured entertainment center. Clean the TV unit with ease with just a damp cloth. Made in China; assembly is required. Overall Dimensions: 23.9-inch H by 15.4-inch L by 57-1/2-inch W.",size,1,g
B002S51RWA,Keurig Cafe One-Touch Milk Frother,"Caf&#xE9; One Touch Milk Frother, Perfectly steames or frothed milk in just 90 seconds, Perfect for cappuccinos and lattes, easy-to-clean non-stick surface, cordless frothing pitcher with a premium brushed stainless steel exterior.",how to get parts,4,s
B005NAYJIG,TRU Crock Buffet Slow Cooker,"This TRU buffet slowcooker is a must-have for entertaining. With three separate, removable vessels, you can serve up a variety of appetizers, side dishes and more. For family dinners, birthday parties and every occasion in between, this TRU buffet slowcooker is sure to be a hit.",does anyone know what the wattage is on one of these?,3,s
B00855LDKS,Quick Luxe &reg; Full Size Raised Air Bed Mattress w/Flocked Top in Sky Blue,INCLUDES: Dual action turbo power pump + Air nozzles repair kit + Travel carry bag,what is the warranty?,1,g
B003BCDVW8,36&quot; Apple Orchard Cottage Set,"Cottage sets are the perfect finishing d&#xE9;cor for you kitchen window. Each set comes with a pair of Tailored Valances, 1 Ruffel Topper with attached valance and 1 pair of Tiebacks.",what is the measurment of the bottom part of the curtain ?,-5,s
B0054TBRXQ,Panasonic IONITY Hair Dryer EH-NE23-W White | AC100V 50/60Hz (Japan Model),This product is made for Japan Market. It may require power transformer and/or plug adaptor for use in foreign countries. Manuals are in Japanese only and comes with 1 year Japan warranty.,what is the height of the unit when the handle is folded in?,4,s
B004N3C4O0,"Greendale Home Fashions Standard Rocking Chair Cushion Hyatt fabric, Moss","Solid color rocking chair cushion set. 100-Percent nylon microfiber fabric. This rocker cushion set is fully reversible. Set consists of two cushions; 1 seat cushion (17-Inch W by 15-Inch D) and 1 back cushion (17-Inch W by 22-Inch H). Cushion sets are 3-Inch thick. Cushions have a boxed, corded edge trim and 4 circle tacks. String ties are attached to the backs of both cushions. The rocker cushions are fully tufted and filled with 100-Percent polyester fiberfill. Home furnishings for indoor use.&#xB7; Spot clean only. (Cushions are + or &#x2013; 1-1/2-Inch )",can these cushions be used on a glider chair?,4,s
B004Z762YC,"BLACK Orka Silicone Rice, Grain and Cereal Cooker / Vegetable Steamer",The bottom holds about 32 ounces of liquid so it can be used for just about anything that needs microwaving. Made in China,"what is the :\maximum width, maximum height, and the maximum water capacity in ounces?",-5,g
B00563M3OC,"Bar Cart, Mirror Top, Wine Rack By Winsome Wood","This wheeled wine cart holds everything necessary for a portable bar. It can store ten bottles of wine in its upper racks, and also has a lower shelf to hold more bottles and glasses. The top shelf is perfect for resting full glasses and plates of appetiz",what are the dimensions?,1,g
B004ZP7VI0,Kristyna Soft Cream Bonded Leather Sofa by Coaster,"The Kristyna sofa brings any living space to new levels of luxury, boasting buttery smooth white bonded leather upholstery. Sloped rolled arms, tufted backs and prominent stitching throughout. High-resiliency foam cushions adds a irresistible comfort.",is the back of the sofa also leather or does it need to go up against a wall?,4,s
B002M76U7Q,Sunbeam Foot Cuddler,"The Comfy Toes foot warming pad makes getting into a cold bed a thing of the past. Designed to fit under the fitted sheet, Comfy Toes warms up cold toes for a comfortable night sleep.",does it have auto off?,2,g
B008410FUW,Ytnqq23 - Modern Abstract Oil Painting on Canvas Stretched-framed Ready to Hang - Return Shipping Covered for Continental Us Regions,High quality 100% hand-painted oil painting on canvas. Redefine your living style with this unique and elegant piece of art created by artist. Each piece is custom made. Actual size may be slightly different from the product image. CUSTOM SIZES AVAILABLE. Please contact us right away (should be before we have started processing) if you would like different painting sizes. - price may be more for bigger sizes.,i would like the size to be126 inches in length 66inches in height how much will the cost be please email me back with the price,4,s
B002YD8DS2,"Convenience Concepts 151202 TV Stand with 3 Cabinets for Flat Panel TV's up to 50-Inch or 85-Pound, Black","Modern Styling is the essense of Designs 2 Go TV Stand with 3 cabinets, style # 151202. Easy and Simple Set up. Convenience Concepts brings you exciting and affordable furniture. Combining exciting designs with economical overseas manufacturing to bring you the finest in sensible contemporary furniture. Focusing on R-T-A Entertainment, TV, Storage, and Accent furniture.","what is this product made of, wood or pressed materials",4,s
B000NPOPKS,"Winsome Wood Oval Wine Rack, Espresso",This solid/composite wood wine rack is perfect for use in any room.Espresso finish combine with solid wood to bring function and style together in this small wine rack.,what are the meaurements,1,g
B003R0GU0E,"Bormioli Rocco Fiaschetta Glass Pocket Flask, 17 Ounce","Store and transport liquors in style with the Fiaschetta pocket flask from Bormioli Rocco. Made of beautiful, durable glass, this flask features a white stopper with wire bail closure. The seal is airtight, so you can avoid spills and be sure your drinks will stay fresh. This flask makes a great gift for any beverage connoisseur, and will make an excellent addition to any home bar.9"" H, with a 17 ounce capacity",how tall is the product?,2,g
B005HJRLPG,"HON Nucleus Knit Mesh Back Task Chair with Synchro-Tilt, Seat Glide, Adjustable Arms and Black Mesh Back, Black","HON Nucleus seating is constructed from innovative materials to deliver comfort from the inside out. This chair also features an ilira-stretch knit back that conforms to your spine. The synchro-tilt and four-position locking further promote proper back alignment. Height- and width-adjustable arms are standard for added comfort. Seat upholstery color is Black, back mesh color is Black, base color is Black, and frame color is Black.","is this chair comfortable for a smaller, light-weight person?",2,g
B000FQHA1G,Toastess TPG-315 6-Person Nonstick Party Grill and Raclette,"Non-stick surface for grilling meats, fish and vegetables. 6 Large pans for raclette cheese, desserts and more! 6 spatulas specially designed to remove food from raclette pans easily and without sticking. On/off switch with indicator light. Easy to use recipes included.",i would like to know the wattage 1200 watts and high temp 425?,4,s
B0000CFPTD,Progressive International Microwavable Potato Cooker with Lid,"Progressive International&#xAE; is your source for the widest range of functional, inventive, and fun kitchen tools and great ideas put into practice. Our in-house designers spend hours in the kitchen coming up with ways to improve on a variety of traditional tasks and tools. Established in 1973, our commitment to quality and service allows us to offer a broad selection of quality kitchenware and other household products. Microwavable potato cooker holds up to 4 medium sized potatoes.  Base prongs pierce the potatoes to ensure even cooking.  1 qt capacity.",for how long should i nuke a sweet potato on this cooker for it to be fluffy &amp; dry?,3,s
B003WE986S,"Benson Mills Christmas Ribbons Engineered Printed Fabric Tablecloth, 52-Inch-by-70 Inch",A tablecloth that is perfect for your Holiday d&#xE9;cor. Effortlessly dress up your Holiday dinner with this luxurious engineered tablecloth.,is it made in china?,1,g
B006J4I49K,"LA Linen Cocktail Spandex Fitted Stretchable Elastic Tablecloth, 36-Inch, Black","Spandex tablecloth is a blend of polyester and Lycra which makes it more durable and easier to wash. They will transform your table into a smooth, wrinkle-free look. Ideal for events, banquets, conventions, trade shows and corporate events. The leg pocket is re enforced for durability and easy to adjust.",i have a 32 inch white bar heigtt folding table would this item fit?,4,s
B003BVK27Q,Kidkraft 2-in-1 Activity Table Espresso,"Our 2-in-1 Activity Table with Board is a fun gift idea for any young, imaginative child.",would this table be good for my 10 year old son or is it more for younger children,-5,s
B004RB73A8,"Nordic Ware Tortilla Warmer, 10-Inch","Perfect for warming or reheating more than a dozen burrito-sized tortillas! Place warmer in microwave to ensure everyone at the table receives hot, fresh tortillas at the same time! Also great for pancakes, crepes, waffles, or pita bread. BPA- and Melamine-free. Made in the USA.",can it be used in an oven?,2,g
B000FRUO1S,Bernardin Mason Jar Caps - Plastic - Wide,"These screw-on, one-piece plastic caps turn mason jars into practical storage containers for pantry, refrigerator or freezer.Pack of 8Size: Wide mouth (86 mm)Colour/Pattern: WhiteDimensions: 86 mm DiaCare: Dishwasher safeNOTE: Does not contain bisphenol A (BPA)",do these fit on kerr wide mouth quart size jars?,4,s
B003UDM4M6,Jet Convertible (Burgundy) (7.09&quot;H x 22.08&quot;W x 70.08&quot;D),"Lounge in contemporarystyle with the burgundy Jet Convertible. Featuring practical modern design, this sleeper lounge is stylish enough for everyday use, but is also comfortable and compact enough to be used occasionally for overnight guests. Modern chaise lounge. Covered in microfiber suede. Assembly level/degree of difficulty: Easy.",does this come in off-white/light gray?,-5,g
B0000CFNDM,Arrow Plastics . 2 Cup Plastic Measuring Cup,"Lightweight and easy to read, this very affordable liquid measuring cup is also dishwasher safe.",where is this cup made?,-5,s
B0015QV5S4,Anchor Hocking Gift Boxed 3-Piece Open-Handle Measuring Cup Set.,Anchor Hocking Open-Handle Measuring Cups!  Why buy glass? Dependable - Cleans easily and looks great for years. Red measurements make these easy to read!,does this set nest or stack easily for compact storage?,3,s
B0056JWC06,Mason Fruit Jar - Half Gallon Half Gallon,"This half gallon Mason Lidded Jar fits any of our lamp adapters, or can be displayed as a country style accent. With old lettering of Masons Pantented November 1851. This jar lends antique charm to any country home. Fill with potpourri for a fragrant touch. Glass and metal lid. 4.25"" W and 9"" H.",is this made in the usa?,4,s
B004VTG4RE,"Handmade Crochet Lace Tablecloth. 100% Cotton Crochet. Ecru, 30 Inch Square. One piece .","Handmade Crochet Lace Tablecloth. 100% Cotton Crochet. Ecru, 30 Inch Square. Machine Washable. Imported China. One piece .","what would be the ideal size table cloth for a 42"" square table?45"" or 54""?",-5,s
B000O1CNTG,"Foremost 329206 Modular Large Shelf Cube Storage System, Black","This modular PVC laminate veneer black large cube with shelf is excellent for magazine, book, folder, CD and DVD storage. Overall size 30-inch W x 15-inch D x 15-inch H.  Frame is made out of solid wood, each panel finished with PVC laminate.  Sturdy and stackable for maximum durability.  Holds up to 200 pounds per assembled unit.  Hollow-core construction makes the cube weigh 50% less then traditional particle board. Packed pre-finished, easy assembly and installation.  Unlimited combination options so you can create exactly the system you need.",what is the inside measurement of the shelf from front to back?,2,g
B002CVTKW4,Yama Glass 8 Cup Stovetop Coffee Siphon (Syphon),"This is a 8-cup stovetop coffee siphon, (40-ounce) with a black handle. For brewing and serving the perfect-cup of coffee. A wire grid is included for use on electric stoves, the grid is not required for gas stoves. Always use medium or medium high heat. Dishwasher and microwave safe. This is a great price for this style of coffee brewing.. Plus we always carry replacement parts.","is this coffee maker shipped with a ""secure"" wrapping and boxing to avoid any breaks of those glass?",2,g
B000GHDOIM,"Dirt Devil 0213BLU Kone Cordless Rechargeable Handheld Vacuum Cleaner, Blue","The Dirt Devil KONE is a cordless hand held vacuum cleaner unlike any you've seen. Dirt Devil had famed product designer Karim Rashid create an elegant, sculptural form that can be left on display - on your table, shelf, or counter. The cone shape means that the vac is always stored in its base, so your hand vac will always be charged. Always ready. No more searching a closet only to find an unplugged unit. KONE - The New Shape of Clean.",how can you tell when it is charging?,2,g
